artist_name,track_name,release_date,genre,lyrics
Cam'ron,Harlem Streets,2004,rap,"Killa! (Killa!), Dipset, man Ayo you know I've been all over the motherfucking world, man But ain't no place like Harlem, man Let me break it down, man   We tie dynamite to the rhino type, wino might find yo' sight Sell the information for a dime of white, that China-China I'm behind the diner, selling marijuana to a minor-miner Elder fella; looking for that shine? I'll shine ya My mind designer. You a dime? I'll dine ya Madonna momma, body bottled, you're fine. I'm finer Time to climb her, climb behind vagina Then I hymen-grind her 'til her mom remind her Diamonds blind her; vision's gone, kiss her palm Turn her arm, lift her arm, notice that her wrists is raw ""Gotta get it right ma, we gon' get along"" Said ""how?"" ""don't trip,"" but, yo, the trick is wrong First visi-on, day job tick-a-tron Nighttime, Mr. Mom, bootleg Cris' and Dom"
Canibus,Dr. C. Ph.D,2002,rap,"Doctor C   Yo, I plan to build myself a facility before I'm forty A molecular archeogenetic laboratory That can analyze complex poetry data for me even if it was recorded poorly How extraordinary I frog leap over awkward beats Then I separate rappers by their Carbon-14's To determine the age of anything ever made Regardless of how the outside surface has changed I put a curse on your name, bombard your brain With gamma X-rays 'til you burst into flames With the scientifically quantifiable megalomaniacal viable style It's like trying to ride a bull Let's have a dictionary duel after school Check me into a nice Cedars-Sinai room So I can get sick as the flu, spittin' the truth If you ain't got this album, you missing the proof Prepare for your doom my nuclear rocket plumes"
Kanye West,Barry Bonds,2007,rap,"It's what you all been waiting for, ain't it? What people pay paper for, damn it They can't stand it, they want something new So let's get reacquainted, became the hood favorite I can't even explain it, I surprise myself too   Life of a Don, lights keep glowin' Comin' in the club wit' that fresh shit on Wit' somethin' crazy on my arm, uh-huh-hum And here's another hit, Barry Bonds   We outta here, baby! We outta here, baby! We outta here, baby!   Dude! Fresh off the plane—Konnichiwa, bitches Turn around another plane, my passport on pivot Ask for it, I did it—that asshole done did it"
Lil Wayne,Fireman,2005,rap,"(Weezy Baby) Shh, the fireman comin' Yeah, yeah, yeah, yeah, yeah (Uh-oh) Yeah (Uh-oh, hey, I'm back), yeah Yeah (That's right), yup (Birdman), yup (They gon' have to call the law), uh-huh (I'm burnin', shawty) I'm back (I tried told 'em) What you, oh, what you gon' do now? (Yeah)   I'm the fireman (Yeah), fire, f-fireman (Yeah) I got that fire, I'm hollering (Yeah) I got that fire, come and try me, and (Yeah) You can spark it up and I'ma put you out (I got 'em, get 'em) You can spark it up and I'ma put you out (I got 'em)   Ain't nobody fuckin' with me, man (Uh-uh) He-Man, ski mask, spendin' next week's cash, he fast (Oh) And I don't even need a G-pass, I'm past that"
Lil Wayne,On My Own,2004,rap,"Yeah, hit me with the snares, Fresh Yeah-yeah-yeah-yeah, just the snares, Fresh Ch-ch-ch-ch, I like the snares, Fresh Ch-ch-ch-ch, I'ma ride the snares all the way though this thing right here Drum section Weezy Baby  once again What up? This is what they call me, Dutch!   Eagle, Eagle Carter man In a '96 Regal contraband On my way to the east to the laundromat Got to wash that money and get on my ass Gotta flip them bricks it be gone so fast I got to do something I done blown my last Dollar holler at your boy on the ave And that cheap perico is what I'm known to have Shit tend to be slow I put on the mask And make it Halloween and take all your bags I say Holly-hollygrove won't you go and stand up"
Fabolous,Whatever I Wan Do,2006,rap,"They wan' do whatever I wan' do I got the 40 cal and my nigga got one too They wan' do whatever I wan' do I got the 12 gauge and my nigga got one too They wan' do whatever I wan' do I got the MAC 11 and my nigga got one too They wan' do whatever I wan' do So go 'head and fuck around we me if they want to   I hear the rumors, but niggas won't say they said it They know Duke got a shooter like JJ Redick You'd think niggas was G4s the way they jetted 'Cause when they AK's wet it, then your Pelle shredded They sick, I got the chick that some say they sweated But cryin' over chicks is the shit that got AJ deaded Plus, I wipe my ass wit the pay they netted Couple scams, couple grams, that's the way they get it But me, wasn't for rap I'm probably down South With the coke that give the fiends the Bobby Brown mouth"
JAY-Z,Brooklyn Go Hard,2008,rap,"Brooklyn— Brooklyn— Brooklyn— Brooklyn Brooklyn, we go hard We go hard   Brooklyn, we go hard, we go hard (Agh!) Brooklyn, we go hard, we go hard (Go hard) Brooklyn, we go hard, we go hard Brooklyn, we go hard, we go hard Brooklyn, we go hard, we go hard Brooklyn, we go hard, we go hard Brooklyn, we go hard, we go hard Brooklyn, we go hard, we go hard   This is black hoodie rap There's no fear in my eyes where they lookin' at Better look on map Besides, me nah like to eye fight Me nah think such a ting is worth a man's life (Christ!)"
The Notorious B.I.G.,Juicy,1994,rap,"(""Fuck all you hoes!"" Get a grip, motherfucker!) Yeah, this album is dedicated To all the teachers that told me I'd never amount to nothin' To all the people that lived above the buildings that I was hustlin' in front of Called the police on me when I was just tryin' to make some money to feed my daughter (it's all good) And all the niggas in the struggle You know what I'm sayin'? It's all good, baby baby   It was all a dream, I used to read Word Up! magazine Salt-n-Pepa and Heavy D up in the limousine Hangin' pictures on my wall Every Saturday Rap Attack, Mr. Magic, Marley Marl I let my tape rock 'til my tape popped Smokin' weed in Bambú, sippin' on Private Stock Way back, when I had the red and black lumberjack With the hat to match Remember Rappin' Duke? Duh-ha, duh-ha You never thought that hip-hop would take it this far Now I'm in the limelight 'cause I rhyme tight"
JAY-Z,D.O.A. Death of Auto-Tune,2009,rap,"La da da da... Hey, hey, hey, goodbye... (Good riddance!) Hold up...   Only rapper to rewrite history without a pen No I.D. on the track let the story begin... Begin... Begin   This is anti-Auto-Tune, death of the ringtone This ain’t for iTunes, this ain't for sing-alongs This is Sinatra at the opera, bring a blonde Preferably with a fat ass who can sing a song Wrong, this ain't politically correct (uhh!) This might offend my political connects (uhh!) My raps don’t have melodies This should make niggas wanna go and commit felonies (uhh!) Get your chain tooken"
The Notorious B.I.G.,Youre Nobody Til Somebody Kills You,1997,rap,"Yea though I walk through the valley of the shadow of death I will fear no evil, for you are with me Your rod and your staff, they comfort me You prepare a table for me, in the presence of my enemies You anoint my head with oil, my cup overflows Surely goodness and love will follow me all the days of my life And I will dwell in the house of the Lord forever   Niggas in my faction don't like askin' questions Strictly gun-testin', coke-measurin' Givin' pleasure in the Benz-ito Hittin' fanny, spendin' chips at Manny's Hope you creeps got receipts, my peeps get dirty like cleats Run up in your crib, wrap you in your Polo sheets Six up in your wig-piece, nigga deceased Muah, may you rest in peace With my Sycamore style, more sicker than yours Four-four and fifty-four draw As my pilot, steers my Lear; yes, my dear"
The Notorious B.I.G.,Me  My Bitch,1994,rap,"Yo let— let— let me ask you a question, yo Yo, would you kill for me? Hmm, yeah Uh, the act of making love— (Haa) What took you so long to answer motherfucker? I don't know The fuck wrong with you, bitch?   When I met you, I admit, my first thoughts was to trick You look so good, huh, I suck on your daddy's dick I never felt that way in my life It didn't take long before I made you my wife Got no rings and shit, just my main squeeze Comin' to the crib, even had a set a keys During the days you helped me bag up my nickels In the process, I admit, I tricked a little But you was my bitch, the one who'd never snitch Love me when I'm broke or when I'm filthy fuckin' rich And I admit, when the time is right, the wine is right"
C-Bo,Major Pain  Bossalini,1998,rap,"Verse 1-(C-BO)  We got the warehouse packed from Lamborginis to Lacs Peruvian flake powder, than metro rap Got keys on knees wit g's out of state Flippin' more yay than IHOP flip pancakes I'm a boss balla now, shot calla now Rose's Bentley's nigga fuck the Impala now An these bitches be comin by the dozens True ballaz never love 'em, fuckin aunties an cousins Got a have a ??? humble, sticky green gumbo Layin by the pool, hella full off gumbo Rollin wit these g's, get R.I.P By desert eagles to mini gages, to AR-15's See I don't trust a soul on patrol when I roll 4-4 I hold cuz I gotta shake parole You can stroll wit me, rock an roll wit me But when the one times dip, cock, unload wit me Cuz I'm a killa, nappy head nigga, from out the valley, best strapped Down, in Sac-Town, capitol of Killa Kali"
Ol' Dirty Bastard,Brooklyn Zoo,1995,rap,"Shit Word, I'll bust that nigga ass right now Ain't no– none of them niggas can't fuck with me What? Nigga, you could never fuck with me, my nigga I'll fuck you up right now, what? What? What? Bust your motherfucking ass, boy I ain't no motherfucking joke, you know who you talking to? (Yo, word up, bust that nigga ass, word up) Ol' Dirty Bastard, you know what I'm sayin'? I'll fuck you up right now Yeah, what? What? What? He ain't sayin' nothin', fuck him   I'm the one-man army, Ason I never been tooken out, I keep MC's looking out I drop science like Cosby dropping babies Enough to make a nigga go crazy In the G-Building, taking all types of medicines Your ass thought you were better than Ason? I keep planets in orbit"
The Notorious B.I.G.,The What,1994,rap,"I used to get feels on a bitch Now I throw shields on the dick to stop me from that HIV shit And niggas know they soft like a Twinkie filling Playing the villain, prepare for this rap killing Biggie Smalls is the illest, your style is played out Like Arnold on that, ""What you talking 'bout, Willis?"" The thrill is gone, the Black Frank White Is here to excite and throw dick to dykes Bitches I like 'em brainless, guns I like 'em stainless steel I want the fucking fortune like the Wheel I squeeze gats 'til my clips is empty Don't tempt me, you don't want to fuck with the M-E...   ...T-H-O-D Man, here I am I'll be damned if this ain't some shit Come to spread the butter lyrics over hominy grit It's the low killer death trap, yes I'm a jet-black ninja Coming where you rest at, surrender Step inside the ring, you's the number one contender"
Fabolous,Im Gettin Money,2008,rap,"I'm gettin money, heres my explanation The Lambo's milked out, no expiration And I ain't ask for an estimation I just pass the cake off, no hesitation Ya' see I'm nothing like y'all guys I just do the stuntin' Y'all niggas fall guys And everyday I get the Benny washed It's Deja Vu, like Denny Wash The budgets too big, Billionaire’ll hurt a label Play it tight spray the creed on the Purple label Pave' set me and Jacob got me linked up The bentley wag' bullet proof, like a Brinks truck CVL, we dont care what ya homies sell Rubberbands round' the stacks like a ponytail I could meet a ho sweeter than Damita Jo She act conceited, though, her number get deleted, yo I'm not a musician, but I play an instrument The raging bull handle any kind of incident The Black latex D’s can't get the prints"
Fabolous,Not Give a Fuck,2003,rap,"I'm somethin' like a phenomenon But still dumpin' whenever the drama's on Y'all hustlers can't eat fit meals And it feels somethin' like when it's Ramadan Hope you chumps been walkin' with armor on I'm who they dumping 2 Cole Hamels on Somethin's turnin' this momma on I love to see rumps in Ferragamo thongs Bet it look plump when you got pajamas on Jump in, let's hit the Bahamas ma And it's crunk whenever I'm on the song Bumpin' like ""Bumb-ba-Bump"" I'm particularly picky When it come to licky licky Have 'em slidin' off them Vickies quickly Under the doo-rag thick three sixty It's the hypno and sticky icky I said Okay!  "
The Notorious B.I.G.,Ten Crack Commandments,1997,rap,"1, 2, 3, 4, 5, 6, 7, 8, 9   It's the ten crack commandments, what? Nigga can't tell me nothing about this coke Can't tell me nothing about this crack, this weed, for my hustlin' niggas Niggas on the corner I ain't forget you niggas, my triple beam niggas   I've been in this game for years, it made me a animal There's rules to this shit, I wrote me a manual A step-by-step booklet for you to get Your game on track, not your wig pushed back Rule Nombre Uno: never let no one know How much dough you hold 'cause you know The cheddar breed jealousy 'specially If that man fucked up, get yo' ass stuck up Number Two: never let 'em know your next move Don't you know bad boys move in silence and violence? Take it from your highness (Uh-huh)"
Fabolous,Niggaz,2003,rap,"Some niggas thug, and some niggas is bitch Some niggas'll rob, and some niggas'll pitch Some niggas ain't got shit, some niggas rich Some niggas do the time, and some live as a snitch   Now some niggas like to pull out and talk, some niggas pop off Some niggas found they way to the top, some niggas got lost Some niggas keep it thorough in jail, some niggas got soft Some niggas ride hard top Coupe, I pull the top off And quick to speed off on the Jake Quick to back, any nigga gettin' money, come up off of the safe Fuck the city, I'm extortin' the state I'm like O. from The Wire, walk with a sawed-off and a .8 And I was taught, never talk with a snake When you kill a nigga you love, you pay for the coffin and wake Get you wrapped up, and tossed in a lake If you can't get the whole pie, just take ya portion and skate Don't fuck with niggas, if they soft or they fake Only jail cats, and niggas going back and forth to court could relate"
Jadakiss,Knock Yourself Out,2001,rap,"Uh-huh, you know where I'm taking this I'm taking it right there, they leave me no choice   She said she was a model for a year and a half and if she took her pins out Then her hair would drop down to her calf I knew her man, he was just up North And would've got left up North, but he was the chef up North Anyway I'm K-I-double All I do is get dough, spit flows, try to stay out of trouble If you ready we could move, just lose your man Or hit the dance floor, I'll show you how to do my dance Or I might let you play in the garden Or sit up in that white thing and listen to the greatest of Marvin The estate got 6 locations Take so long to get to the front once I missed probation And I hate to brag I know ya man really wouldn't like the Beretta but he'd hate the Mag And yeah here go a blank check, rock yourself out But in the mean time girl, knock yourself out"
JAY-Z,Hate,2009,rap,"Haters Haters—these niggas is haters! And I made myself so easy to love Yeah Yeah   How much they hate it? Very Kiss girls like Katy Perry I am never sprung, but I spring 'er: Jerry Don’t try this at home; results may vary King like T.I., but in the Chi, Larry   Hoover? Hova Both are American Gangsters You choose who's colder Rappers get nasty in the booth but I'm grosser I can’t even stomach myself: ulcer More realer 'cause I'm closer"
Jadakiss,We Gonna Make It,2001,rap,"Fuck the frail shit, uh, 'cause when my coke come in They gotta use the scale that they weigh the whales with Carlssons on the jeep, Bugatti made the prototype Hoped you'd get the picture but you just can't photo life Determined niggas make it Kicking down the door and we burning niggas naked The house costs a million, sitting on the beach And the only thing I know: if it's furnished I'ma take it My bathtub lift up, my walls do a 360 We got the shit that the government got Talking money then you rubbing the spot Real niggas say that they be wilding We on the Cayman Islands on a yacht with our favorite albums A bad ho and a plate of salmon, smoking and drinking Nigga is you thinking that our fate is violent? I love my nigga for the fact that he real And nobody on the faculty squeal And if you facing capital pun, pass me a gun And I'ma give you time to run while I rapidly peel, uh "
Juvenile,Back That Azz Up,1998,rap,"Cash Money Records taking over for the '99 & the 2000   Girl you working with some ass, yeah, you're bad, yeah Make a nigga spend his cash, yeah, his last, yeah Hoes frown when you pass, yeah, they mad, yeah You gon' ride in the Jag, yeah, with dat ass You could smoke or buy a bag, yeah, of grass, yeah Got money I confess, yeah, and trash, yeah I'm a Big Tymer nigga, yeah, pulling trigger, yeah A player hater to flip with, yeah, going head and fill it, yeah I be slanging wood, yeah, out the hood, yeah Let it be understood, yeah, it's all good, yeah Got a nigga screaming large, yeah, on the hard, yeah A smooth ghetto broad, yeah, I want the broad, yeah A nigga do a trick, yeah, on the dick, yeah You claiming you want a bitch, yeah, that ain't shit, yeah The nigga with the money, yeah, don't act funny, yeah Got birds and I'm running, yeah, 'bout a hundred, yeah "
JAY-Z,A Star Is Born,2009,rap,"Every day a star is born (And you say New York City! Yeah, yeah) Clap for 'em! Clap for 'em! Clap for 'em! Hey Every day a star is born (And you say New York City! Uh-huh) Clap for 'em! Clap for 'em! Clap for 'em! Hey   I seen Mase do it, I seen 'Ye do it 'X came through, caught lighter fluid Still I came through it; clap for him! But I’m the blueprint, I'm like the map for 'em I dropped another classic, made Puff pass it Nobody could touch Puff back when Puff had it Wayne scorchin', I'll applaud him If he keep going, pass the torch to him Fifty came through like hurricanes do I thought I finished his ass at Summer Jam too I had the Illmatic on bootleg The shit was so ahead, thought we was all dead Wayne did ""A Milli,"" Fifty did a milli 'Ye too, but what Em did was silly"
Lil Wayne,A Milli,2008,rap,"Bangladesh Young Money! You dig? Mack, I'm going in   A millionaire, I'm a Young Money millionaire Tougher than Nigerian hair My criteria compared to your career just isn't fair I'm a venereal disease, like a menstrual bleed Through the pencil, and leak on the sheet of the tablet in my mind ‘Cause I don't write shit, ‘cause I ain't got time ‘Cause my seconds, minutes, hours go to the almighty dollar And the almighty power of that ch-cha-cha-chopper Sister, brother, son, daughter, father; mother-fuck a copper Got the Maserati dancin' on the bridge, pussy poppin' Tell the coppers: ""Ha-ha-ha-ha You can't catch him, you can't stop him"" I go by them goon rules: if you can't beat 'em, then you pop 'em You can't man 'em, then you mop 'em"
Nicki Minaj,I Get Crazy,2009,rap,"I get crazy I-I get crazy I-I get crazy I-I get crazy   I mean, you know It's like when I feel really crazy I just get my broom and fly away I go real, real far away Young Money That's-that's-that's just what we do You know, I mean we-we wear straightjackets And we-we-we-we stay in, you know, padded rooms And, you know, and we fly away   I just came out of the motherfuckin' old school Got my Mac Notebook with the Pro Tools You bitches ain't ready for Nicki Lewinsky"
JAY-Z,Can I Get A…,1998,rap,"What? Well fuck you... bitch Now can you bounce wit me, wit me, wit me wit me Can you bounce wit me, bounce wit me, wit me wit me Can you bounce wit me, bounce wit me, ge-gi-gi-gi-gi-gi Can you bounce wit me, bounce wit me, ye-ye-yeah Uh-huh uh-huh bounce wit me, bounce wit me Can ya can ya can ya bounce wit me, bounce wit me Ya-yah-yah, ya-ya-yah-yeah bounce wit me, bounce wit me Ge-gi, ge-gi-gi-gi-geyeah bounce wit me, bounce wit me Get it!   Can I hit in the mornin' without givin' you half of my dough And even worse, if I was broke would you want me If I couldn't get you finer things like all of them diamond rings Bitches kill for would you still roll If we couldn't see the sun risin' off the shore of Thailand Would you ride then, if I wasn't driving If I wasn't a eight-figure nigga by the name of Jigga"
JAY-Z,Already Home,2009,rap,"Yeezy, Hova, Yeezy Yeezy Yeezy, Hova, hold up You either love me or leave me alone You either love me or leave me alone   Oh, they want me to fall (fall) Fall from the top (top) They want me to drop (drop) They want me to stop (stop) They want me to go (go) I'm already gone (already) The shit that I'm on (hey) I'm already home Hey, I'm already home Hey, I'm already home Hey, I'm already home  Now one more 'gin "
The Game,The Documentary,2005,rap,"Bitch, I want my mother fuckin' money back You only gave me five dollars! I gave you twenty mother fuckin' dollars! No, you didn't! You only gave me five dollars! No, I gave you twenty and I ain't gon' sit here and argue with your flat-ass face, home girl This is America! You know, that's the thing about you mother fuckers Go home! I ain't goin' no where 'til I get my mother fuckin' change I will blow this mother fucker up if I don't get my mother fuckin' change *Speaking Japanese* *Mocking Japanese* I want my mother fuckin' change!   What happened in hip-hop that got Pac and Big shot? The thicks blocks, now every rapper claim he let his clip pop But even myself tote a gun, and know to run than get shot I've been there before now I'm fuckin' with Doc (Gotta do them Calvin Broadus numbers)"
JAY-Z,Feelin It,1996,rap,"Ha ha, ha ha What.. '96 and forever Rok-A-Blok, Roc-A-Fella Yeah, keep it realer than most Marcy, Brooklyn... yeah   I'm feeling it, fill the glass to the top with Moët Feeling it, feel the Lex' pushing up on the set I'm feeling it, feel the high that you get from the lye Feeling it, if you feel it raise your L in the sky   I keep it realer than most, I know you feeling it Cristal's on ice, I like to toast, I keep on spilling it Bone crushers I keep real close, I got the skill for this On my back the flyest clothes, looking ill as shit Transactions illegitimate 'cause life is still a bitch, and then you die But for now, life, close your eyes and feel this dick Since diapers, had nothing to live for like them lifers but"
Clipse,Eghck,2009,rap,"It go hot waist - Desert taste, four pounds of metal, tri-angle faceHesi-tate? Never, I'll put hole in whoever Don't make Push' Russian Roulette ya Gamble with ya life Change came from cocaine I've measured White was the treasure, comfort was the steelI pedal to the corner like a child on a big wheelFlow more sicker, so much shake in the street They measure my weight in Richter Make no mistake, I rhyme for the public But still I push yay that make the ghettos quakeBy all means I've seen I've lived By 22 years old, 50 thousand dollar vehicles I rimmedMy dreams start over the stoveI ran over the globe and back again You seen em, five-ten, hair swingin, dark skinned Gun on my hip like a sergeant Wrist Green Power, Chris Tuck' in my watch Anytime the small hand move, it's Rush Hour  Homie you don't want no probs wit us Cause we the type of dudes who don't think when we bustYou die (Eghck!) When you come close to And you get held back cause you're not supposed to You die (Eghck!) When we roll up on dubsAnd get VIP all up in the club"
Bone Thugs-N-Harmony,1st of tha Month,1995,rap,"Wake up, wake up, wake up, wake up, wake up It's the first of the month So get up, get up, get up, get up, get up So cash your checks and come up Wake up, wake up, wake up, wake up, wake up It's the first of the month So get up, get up, get up, get up, get up So cash your checks and come up Wake up, wake up, wake up, wake up, wake up It's the first of the month So get up, get up, get up, get up, get up So cash your checks and come up Wake up, wake up, wake up, wake up, wake up It's the first of the month So get up, get up, get up, get up, get up So cash your checks and come up   Hey, my niggas, we havin' a wonderful day And I won't fuck with me, why? 'Cause it's the first of the month"
Eminem,My Name Is,1999,rap,"Hi, my name is, what? My name is, who? My name is, chka-chka, Slim Shady Hi, my name is, huh? My name is, what? My name is, chka-chka, Slim Shady Hi, my name is, what? (Excuse me) My name is, who? My name is, chka-chka, Slim Shady (Can I have the attention of the class for one second?) Hi, my name is, huh? My name is, what? My name is, chka-chka, Slim Shady   Hi, kids, do you like violence? (Yeah, yeah, yeah) Wanna see me stick nine-inch nails through each one of my eyelids? (Uh-huh) Wanna copy me and do exactly like I did? (Yeah, yeah) Try 'cid and get fucked up worse than my life is? (Huh?) My brain's dead weight, I'm tryna get my head straight But I can't figure out which Spice Girl I want to impregnate (Oh) And Dr. Dre said, ""Slim Shady, you a basehead"" (Uh-uh) ""Then why's your face red? Man, you wasted"" Well, since age 12, I felt like I'm someone else"
Snoop Dogg,Lodi Dodi,1993,rap,"Yeah, gotta say what's up to my nigga Slick Rick For those who don't like it, eat a dick But for those who with me, sing that shit As it go a little something like this   Lodi Dodi, we likes to party We don't cause trouble, we don't bother nobody We're just some niggas who're on the mic And when we rock up on the mic, we rock the mic (right) For all my Doggs keepin' y'all in health Just to see you smile and enjoy yourself 'Cause it's cool when you cause the cozy condition in Which we create, cause that's our mission So listen close, to what we say Because this types of shit happens every day I woke up around 10 o'clock in the morning I gave myself a stretch, up, a morning yawn, and Went to the bathroom to wash up I threw some soap on my face and put my hands up on a cup"
Ol' Dirty Bastard,Shimmy Shimmy Ya,1995,rap,"""Aw, I don't want to fuck you. You can't even sing!"" You had to sing, or something, to get some pussy   Ooh, baby, I like it raw Yeah, baby, I like it raw Ooh, baby, I like it raw Yeah, baby, I like it raw   Shimmy, shimmy, ya, shimmy, yam, shimmy, yay Gimme the mic so I can take it away Off on a natural charge, bon-voyage Yeah, from the home of the Dodger Brooklyn squad Wu-Tang killer bees on a swarm Rain on your college-ass disco dorm For you to even touch my skill You gotta go through one killer bee and he aim for the kill now Chop that down, pass it all around Lyrics get hard quick cement to the ground For any emcee in any fifty-two states"
Jeezy,Go Crazy,2005,rap,"Guess who's bizzack? Still smell the blow in my clothes Like Krispy Kreme, I was cooking them O's (cooking them O's) Like horseshoes, I was tossing them O's Time to re-up gotta recycle the flow (recycle the flow) I'm emotional, I hug the block (ay) I'm so emotional, I love my Glock Cash rules everything around me, so what's realer? About the scrilla, call me a Ghostface Killa (yup) It's kinda hard to be drug-free When Georgia Power won't give a nigga lights free Switched hustles, been killin' em ever since It pays to tell the truth, dog, it only makes sense   When they play that new Jeezy all the dope boys go crazy And watch the dope boys go crazy I pop my collar then I swing my chain You can catch me in the club, pimping, doing my thang (ay) When they play that new Jeezy all the dope boys go crazy"
Fabolous,Suicide,2008,rap,"See, don't consider these niggas your friends. I mean, you might not want even to call them associates. I heard y'all after I went down. Like ""Dram's done."" ""You're supposed to do it the right way."" What is the right way, nigga? Oh I didn't help the game out? Oh, ok. Kill yourself!   For all of ya'll I know you're feeling yourself Yeah going against me is like killing yourself nigga Suicide it's a suicide, suicide it's a suicide   How you want it, in the abdomen or back? Cause enemies poke you from the front, friends stab you in the back The same niggas who trying to collab you on the track But turn right around and try to crab you on the smack Through the ups and downs I just try to stay level-headed I hear a lot of bullshit but I never sweat it Cause when you ask 'em 'bout it, They goin' say they never said it They know if it's beef I let the Mac-11 dead it And when I spit you could dig it like a shovel said it You couldn't hear a hotter flow if the devil said it I walk by 'em and wink I don't feel T's Pain cause I never had to buy him a drink"
JAY-Z,What We Talkin About,2009,rap,"Blueprint, trois Yeah, yeah   What we talkin' 'bout? Real shit or we talkin' 'bout rhymes? You talkin' 'bout millions or you talkin' 'bout mine? What we talkin' 'bout? 'Cause I ain't got time For what people be talkin' 'bout all the time What we talkin' 'bout? Fiction or we talkin' 'bout fact? You talkin' 'bout fiction? Hold up, pardon my back I'm talkin' 'bout life (Life, life) And all I hear is, ""Oh yeah, he keeps talkin' 'bout crack"" I ain't talkin' 'bout profit, I'm talkin' 'bout pain I'm talkin' 'bout despair, I'm talkin' 'bout shame I ain't talkin' 'bout gossip, I ain't talkin' 'bout Game I ain't talkin' 'bout Jimmy, I ain't talkin' 'bout Dame I'm talkin' 'bout real shit, them people playin' What is you talkin' 'bout? I don't know what y'all sayin' People keep talkin' 'bout, ""Hov, take it back!"" I'm doin' better than before, why would I do that?"
JAY-Z,Run This Town,2009,rap,"Feel it comin' in the air Hear the screams from everywhere I’m addicted to the thrill It's a dangerous love affair Can’t be scared when it goes down Got a problem, tell me now Only thing that's on my mind Is who's gon' run this town tonight Is who's gon' run this town tonight We gon' run this town!   We are, yeah, I said it: we are This is Roc Nation, pledge your allegiance Get your fatigues on, all black everything Black cards, black cars, all black everything And our girls are blackbirds ridin' with they Dillingers I get more in depth if you boys really real enough This is la Familia, I'll explain later But for now, let me get back to this paper"
JAY-Z,Empire State of Mind,2009,rap,"Yeah   Yeah, I'm out that Brooklyn, now I'm down in Tribeca Right next to De Niro, but I'll be hood forever I'm the new Sinatra, and since I made it here I can make it anywhere, yeah, they love me everywhere I used to cop in Harlem–hola, my Dominicanos (Dimelo!) Right there up on Broadway, brought me back to that McDonald's Took it to my stash spot, 560 State Street Catch me in the kitchen, like a Simmons whippin' pastry Cruisin' down 8th Street, off-white Lexus Drivin' so slow, but BK is from Texas Me? I'm out that Bed-Stuy, home of that boy Biggie Now I live on Billboard and I brought my boys with me Say what up to Ty Ty, still sippin' Mai Tais Sittin' courtside, Knicks and Nets give me high fives Nigga, I be spiked out, I could trip a referee Tell by my attitude that I'm most definitely from "
JAY-Z,Renegade,2001,rap,"Motherfuckers say that I'm foolish, I only talk about jewels (Bling-bling) Do you fools listen to music or do you just skim through it? See, I'm influenced by the ghetto you ruined The same dude you gave nothin', I made somethin' doin' What I do through and through and I give you the news with a twist, it's just his ghetto point of view The renegade, you been afraid I penetrate pop culture Bring 'em a lot closer to the block where they pop toasters And they live with they moms, got dropped roadsters From botched robberies, niggas crouched over Mami's knocked up 'cause she wasn't watched over Knocked down by some clown When child support knocked, ""No, he's not around"" Now, how that sound to ya? Jot it down I bring you through the ghetto without ridin' 'round Hidin' down, duckin' strays from frustrated youths stuck in they ways Just read a magazine that fucked up my day How you rate music that thugs with nothin' relate to it? I help them see they way through it, not you Can't step in my pants, can't walk in my shoes"
The Notorious B.I.G.,Mo Money Mo Problems,1997,rap,"Now, who's hot, who not? Tell me who rock, who sell out in the stores? You tell me who flopped, who copped the blue drop? Whose jewels got rocks? Who's mostly Dolce down to the tube sock? The same old pimp, Mase You know ain't nothing change but my limp Can't stop till I see my name on a blimp Guarantee a million sales, call it love or luck You don't believe in Harlem World, nigga, double up We don't play around, it's a bet, lay it down Niggas didn't know me '91, bet they know me now I'm the young Harlem nigga with the Goldie sound Can't no Ph.D. niggas hold me down Cudda schooled me to the game, now I know my duty Stay humble, stay low, blow like Hootie True pimp niggas spend no dough on the booty And then you yell, ""There go Mase!"", there go your cutie  I don't know what they want from me"
Jim Jones,We Fly High,2006,rap,"I wear a mean dark pair of shades And you can't see my eyes Unless my head is bent, you dig? (Uh-huh)   & Cam’ron] We fly high, no lie (You hear that?), you know this (Let’s ride... Ballin'!) Foreign rides outside (Yessir!), it's like showbiz (We in the building) We stay fly (Ballin’), no lie, and you know this (Ballin'!) Hips and thighs, oh my, stay focused   Ya boy gettin' paper (Money), I buy big cars (Foreign) Eight fly rides just to drive in my garage (Choose one!) Stay sky high (Twisted), fly with the stars (Twinkle, twinkle) G4 Flights, 80 grand large (Ballin'!) So we lean with it, pop with it (Bankhead) 'Vertible Jones, mean with the top missin' (Flossin'!) I'm sittin' clean with the bottom kitted (Do it!) I hopped out, saggy jeans and my rock glistened (Ballin'!) But I spent about 8 grand"
Twista,Slow Jamz,2003,rap,"Are you going to be, say that you're gonna be   She say she want some Marvin Gaye, some Luther Vandross A little Anita, will definitely set this party off right (Are you gonna be, are you gonna be, are you gonna be Are you gonna be, are you gonna be, well well well well) She say she want some Ready For The World, some New Edition Some Minnie Riperton, will definitely set this party off right Yes it well, oh yes it will (Are you gonna be, are you gonna be, are you gonna be Are you gonna be, are you gonna be, well well well well)   Yes it will, it definitely will! You know what I told her? I told her to ""Drive over in your new whip Bring some friends you cool with I'mma bring the Cool Whip, then I want you to strip See you is my new chick, so we get our grind on She be grabbing, calling me Biggie, like Shyne home"
